country_code,population
ALB,2745972
ARG,46654581
ARM,2777970
AUS,26638544
AUT,9132383
AZE,10112555
BEL,11822592
BGR,6430370
BHR,1485509
BRA,216422446
BWA,2675352
CAN,40097761
CHE,8849852
CHL,19629590
CHN,1410710000
CIV,28873034
COL,52085168
CPV,598682
CUB,11194449
CYP,1260138
CZE,10873689
DEU,84482267
DMA,73040
DNK,5946952
DOM,11332972
DZA,45606480
ECU,18190484
EGY,112716598
ESP,48373336
ETH,126527060
FJI,936375
FRA,68170228
GBR,68350000
GEO,3760365
GRC,10361295
GRD,126183
GTM,17602431
HKG,7536100
HRV,3853200
HUN,9589872
IDN,277534122
IND,1428627663
IRL,5262382
IRN,89172767
ISR,9756700
ITA,58761146
JAM,2825544
JOR,11337052
JPN,124516650
KAZ,19900177
KEN,55100586
KGZ,7100800
KOR,51712619
LCA,180251
LTU,2871897
MAR,37840044
MDA,2486891
MEX,128455567
MNG,3447157
MYS,34308525
NLD,17879488
NOR,5519594
NZL,5223100
PAK,240485658
PAN,4468087
PER,34352719
PHL,117337368
POL,36685849
PRI,3205691
PRK,26160821
PRT,10525347
QAT,2716391
ROU,19056116
SGP,5917648
SRB,6618026
SVK,5426740
SVN,2120937
SWE,10536632
THA,71801279
TJK,10143543
TPE,23213962
TUN,12458223
TUR,85326000
UGA,48582334
UKR,37000000
USA,334914895
UZB,36412350
XKX,1756374
ZAF,60414495
ZMB,20569737
